id,accountId,userId,deptId,entered,dayDate,shift,chargecount,techcount,aptechcount,seccount,sittercount,antecount,ldcount,ocount,acs,am1,awcm,obed,obed1,ev,scs,cr,pt,ccs,ps1,pp,avariance,lvariance,nvariance,note,atotal,ltotal,aproductivity,lproductivity,nproductivity,oneto1,oneto2,oneto3,oneto4,oneto5,oneto6,oneto7,whpPlan,skill1val,skill2val,skill3val,skill4val,skill5val,skill6val,addResourceHrs,twoto1,procedureCount,actualWHP,actualWHPimport,plannedHours,plannedProcs,admits,transfers,discharges,customChurn,budgetValue,churnValue,visits,totalHours,customNurse,otherNurse2,otherNurse1,oneto8,oneto9,hrsVariance,hrsVarianceActual,activeRecord,censusTotal,planSubmitted,nid,enterpriseId,accountName,prodIndicator,displayProd,prodMeasure,inshiftProd,modalPage,hppd,dept,shiftsperDay,thresholdHigh,rnThreshold,activeDept,thresholdLow,newDate,escalationNote,escalationType,escalationId,viewPage,shiftName,first_init,last_name
107080,19,0,275,"0000-00-00 00:00:00",2019-09-12,52,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107080,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/12/19,,,0,v.php?i=,12:00am,,
107081,19,0,275,"0000-00-00 00:00:00",2019-09-12,42,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107081,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/12/19,,,0,v.php?i=,5:00am,,
107083,19,0,275,"0000-00-00 00:00:00",2019-09-12,26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107083,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,,
107082,19,0,275,"0000-00-00 00:00:00",2019-09-12,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107082,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/12/19,,,0,v.php?i=,5:00pm,,
107041,19,0,273,"0000-00-00 00:00:00",2019-09-12,52,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107041,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,,
107068,19,0,273,"0000-00-00 00:00:00",2019-09-12,42,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107068,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,5:00am,,
107070,19,0,273,"0000-00-00 00:00:00",2019-09-12,26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107070,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,,
107069,19,0,273,"0000-00-00 00:00:00",2019-09-12,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107069,0,"Paradise Valley",0,1,1,2,tj.editNEW,17.0000,"OB Unit 64000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,5:00pm,,
107034,19,368,235,"2019-09-12 01:18:19",2019-09-12,52,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,7,0,0.00,0.00,119.00,0,0,0,0,0,7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,1,0,0,0,0,-3.800,0.000,1,0,0,107034,0,"Paradise Valley",0,1,1,2,tj.editNEW,10.2000,"Psych 2 South - BV 63403",3,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,p,
107035,19,368,235,"2019-09-12 10:59:16",2019-09-12,36,0.5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,1.000,"4 line of sights.",8,0,0.00,0.00,75.60,0,0,0,0,0,8,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,1,0,0,8.800,0.000,1,0,0,107035,0,"Paradise Valley",0,1,1,2,tj.editNEW,10.2000,"Psych 2 South - BV 63403",3,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,8:00am,p,
